name,repo_url,repo_canonical,accepted_date,accepted_year,raw_tags,source_record_url
pymultifit,https://github.com/syedalimohsinbukhari/pyMultiFit,github.com/syedalimohsinbukhari/pymultifit,2025-10-05,2025,data-processing-munging;A python library for fitting data with multiple models.,https://github.com/pyOpenSci/software-submission/issues/233
BlockingPy,https://github.com/ncn-foreigners/BlockingPy,github.com/ncn-foreigners/blockingpy,2025-10-01,2025,data-processing-munging;Blocking records for record linkage and deduplication with Approximate Nearest Neighbor algorithms.;,https://github.com/pyOpenSci/software-submission/issues/232
PIVA,https://github.com/pudeIko/piva,github.com/pudeiko/piva,2025-08-04,2025,data-extraction;data-visualization;Visualization and analysis toolkit for experimental data from Angle-Resolved Photoemission Spectroscopy (ARPES),https://github.com/pyOpenSci/software-submission/issues/231
GREOPy,https://codeberg.org/JPHackstein/GREOPy,codeberg.org/jphackstein/greopy,2025-08-04,2025,data-processing-munging;Calculate relativistic light rays sent by an emitter to a receiver in the presence of a gravitational field.,https://github.com/pyOpenSci/software-submission/issues/227
tda-mapper,https://github.com/lucasimi/tda-mapper-python,github.com/lucasimi/tda-mapper-python,2026-05-21,2026,data-processing-munging;data-visualization;A Python library implementing the Mapper algorithm for Topological Data Analysis.,https://github.com/pyOpenSci/software-submission/issues/222
GALFITools,https://github.com/canorve/GALFITools,github.com/canorve/galfitools,2025-10-30,2025,data-extraction;data-processing-munging;data-visualization;A library for efficient data processing customized for the GALFIT package,https://github.com/pyOpenSci/software-submission/issues/220
GALAssify,https://gitlab.com/astrogal/GALAssify/,gitlab.com/astrogal/galassify,2025-11-16,2025,data-validation-testing;data-visualization;A Python package for visually classifying astronomical objects,https://github.com/pyOpenSci/software-submission/issues/214
neonutilities,https://github.com/NEONScience/NEON-utilities-python,github.com/neonscience/neon-utilities-python,2025-05- 1,2025,data-retrieval;data-processing-munging;neonutilities is a package for accessing and wrangling data generated and published by the National Ecological Observatory Network.,https://github.com/pyOpenSci/software-submission/issues/213
FElupe,https://github.com/adtzlr/felupe,github.com/adtzlr/felupe,2025-9-18,2025,data-retrieval;data-extraction;data-processing-munging;data-visualization;Finite element analysis for continuum mechanics of solid bodies.,https://github.com/pyOpenSci/software-submission/issues/212
Solar Data Tools,https://github.com/slacgismo/solar-data-tools,github.com/slacgismo/solar-data-tools,2025-06-13,2025,data-retrieval;data-extraction;data-processing-munging;data-visualization;Library of tools for analyzing photovoltaic power time-series data.,https://github.com/pyOpenSci/software-submission/issues/210
THzTools,https://github.com/dodge-research-group/thztools,github.com/dodge-research-group/thztools,2024-11-22,2024,data-processing-munging;Data analysis software tools for terahertz time-domain spectroscopy (THz-TDS),https://github.com/pyOpenSci/software-submission/issues/209
MontePy,https://github.com/idaholab/MontePy,github.com/idaholab/montepy,2025-03-19,2025,"workflow-automation;scientific-software-wrapper;MontePy is a python library for reading, editing, and writing MCNP input files.",https://github.com/pyOpenSci/software-submission/issues/205
Great Tables,https://github.com/posit-dev/great-tables,github.com/posit-dev/great-tables,2025-01-03,2025,data-visualization;Make awesome display tables using Python.,https://github.com/pyOpenSci/software-submission/issues/202
Stingray,https://github.com/stingraysoftware/stingray,github.com/stingraysoftware/stingray,2024-10-01,2024,data-processing-munging;data-validation-testing;A spectral-timing software package for astrophysical X-ray (and other) data,https://github.com/pyOpenSci/software-submission/issues/201
Fluidimage,https://foss.heptapod.net/fluiddyn/fluidimage,foss.heptapod.net/fluiddyn/fluidimage,2025-12-17,2025,"data-processing-munging;data-visualization;""Fluidimage: a Python framework to study flows from images""",https://github.com/pyOpenSci/software-submission/issues/194
astrodata,https://github.com/GeminiDRSoftware/astrodata,github.com/geminidrsoftware/astrodata,2025-02-04,2025,data-extraction;data-processing-munging;Common interface for astronomical data products.,https://github.com/pyOpenSci/software-submission/issues/181
QuadratiK,https://github.com/rmj3197/QuadratiK,github.com/rmj3197/quadratik,2024-12-03,2024,"data-processing-munging;QuadratiK includes test for multivariate normality, test for uniformity on the sphere, non-parametric two- and k-sample tests, random generation of points from the Poisson kernel-based density and clustering algorithm for spherical data.",https://github.com/pyOpenSci/software-submission/issues/180
PyPartMC,https://github.com/open-atmos/PyPartMC/,github.com/open-atmos/pypartmc,2025-02-12,2025,scientific-software-wrapper;Python interface to PartMC aerosol-dynamics Monte-Carlo simulation package,https://github.com/pyOpenSci/software-submission/issues/179
CyNetDiff,https://github.com/eliotwrobson/CyNetDiff,github.com/eliotwrobson/cynetdiff,2025-08-22,2025,"data-processing-munging;A performance-focused library implementing algorithms for simulating network diffusion processes, written in Cython.",https://github.com/pyOpenSci/software-submission/issues/175
AMS,https://github.com/CURENT/ams,github.com/curent/ams,2025-09-07,2025,data-processing-munging;Power system dispatch modeling and dispatch-dynamic co-simulation.,https://github.com/pyOpenSci/software-submission/issues/174
pooltool,https://github.com/ekiefl/pooltool,github.com/ekiefl/pooltool,2024-09-16,2024,data-processing-munging;data-visualization;Pooltool is a general purpose billiards simulator crafted specifically for science and engineering.,https://github.com/pyOpenSci/software-submission/issues/173
